Project,ID,File/Section,Context,Text,Interpreted Constraint,Operands,Enforcing Statement,Enforcing Statement CIP,Constraint Type,Data Set
apache-httpcomponents-4.5.9,HCO-7,httpcore-tutorial.txt,"If the headers aren't available, a length of -1 will be returned, and NULL for the content
type.","the headers aren't available,",if headers not present,"headers, available",org/apache/http/entity/BasicHttpEntity.java:56,assign-constant,dual-value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-8,httpcore-tutorial.txt,"Alternatively, a negative content length will read all data
from the input stream, which is the same as supplying the exact content length, so use the length to
limit the amount of data to read.",a negative content length,contentLength < 0,"content length, 0",org/apache/http/entity/InputStreamEntity.java:131,binary-comparison,value-comparison,CDS
apache-httpcomponents-4.5.9,HCO-9,httpcore-tutorial.txt,"HTTP/1.1
connections are persistent by default, while HTTP/1.0 connections are not.",HTTP/1.1 connections,connection.version = HTTP/1.1,"connection, HTTP/1.1",org/apache/http/ProtocolVersion.java:241,binary-comparison,value-comparison,CDS
jabref-5.0,JAB-1,en__advanced__commandline.md,"iven import filter will be used.

Use the `-h` option to get the list of available import formats.

If an export option is also specified, the import will always be processed first, and the imported or loaded file will be used by the export filter. If the GUI is not suppressed \(using the `-n` option\), any imported or loaded file will show up in","If an export option is also specified, the import will always be processed first, and the imported or loaded file will be used by the export filter.",Checks that the export option is specified,"export option, specified",org/jabref/cli/ArgumentProcessor.java:218,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-10,en__cite__openofficeintegration.md,"for the headline of the reference list. This format must be defined in your OpenOffice document. |
| Title | string | `Bibliography` | The text to enter as the headline of the reference list. |

### Citation properties

The **CITATION",| Title | string | `Bibliography` |,Sets default value of “Title” to “Bibliography”,"Title, Bibliography",org/jabref/logic/openoffice/OOBibStyle.java:152,constant-argument,concrete-value,VDS
jabref-5.0,JAB-11,en__cite__openofficeintegration.md,"er | `3` | The maximum number of authors to list in a citation when appearing for the first time. |
| MinimumGroupingCount | integer | `3` | The minimum number of consecutive entries a citation should contain before the numbers are grouped,",| MinimumGroupingCount | integer | `3` |,Sets default value of MinimumGroupingCount to 3,"MinimumGroupingCount, 3",org/jabref/logic/openoffice/OOBibStyle.java:177,constant-argument,concrete-value,VDS
jabref-5.0,JAB-12,en__collaborative-work__export__customexports.md,"filter \(which will be the suggested extension in the file dialog when you use the export filter\). Note that if you intend to use the custom export filter also for ""Copy...-&gt;Export to Clipboard"" in the maintable, the extension must be one of the following: `txt`, `rtf`, `rdf`, `xml`, `html`, `htm`, `csv`, or `ris`.

## Creating the export filter

To see examples of how export filters are made, look for the packag","Note that if you intend to use the custom export filter also for ""Copy...-&gt;Export to Clipboard"" in the maintable, the extension must be one of the following: `txt`, `rtf`, `rdf`, `xml`, `html`, `htm`, `csv`, or `ris`.","Checks that exporter extension is one of `txt`, `rtf`, `rdf`, `xml`, `html`, `htm`, `csv`, or `ris`","exporter extension, txt, rtf, rdf, xml, html, htm, csv, ris",org/jabref/gui/exporter/ExportToClipboardAction.java:67,boolean-property,categorical-value,VDS
jabref-5.0,JAB-13,en__collaborative-work__export__customexports.md,"tryTypeFormatter` : camel case of entry types, so ""inbook"" -&gt; ""InBook"".
* `FileLink(filetype)` : if no argument is given, this formatter outputs the first external file link encoded in the field. To work, the formatter must be supplied with the contents of the ""file"" field.

This formatter ta","if no argument is given, this formatter outputs the first external file link encoded in the field.",Checks that no argument was given to FileLinkType formatter,"no argument, given",org/jabref/logic/layout/format/FileLink.java:33,null-check,dual-value-comparison,VDS
jabref-5.0,JAB-14,en__collaborative-work__export__customexports.md,"file link of the specified type. In the example, the path to the first PDF link will be output.

* `FirstPage` : returns the first page from the ""pages"" field, if set. For instance, if the pages field is set to ""345-360"" or ""345--360"", this formatter will return ""34","`FirstPage` : returns the first page from the ""pages"" field, if set.",Checks that the “pages” field is set,"pages field, set",org/jabref/logic/layout/format/FirstPage.java:15,null-check,dual-value-comparison,VDS
jabref-5.0,JAB-15,en__collaborative-work__export__customexports.md,"using `\format[JournalAbbreviator]{\journal}`, ""Physical Review Letters"" gets ""Phys. Rev. Lett.""
* `LastPage` : returns the last page from the ""pages"" field, if set. For instance, if the pages field is set to ""345-360"" or ""345--360"", this formatter will return ""360","`LastPage` : returns the last page from the ""pages"" field, if set.",Checks that the “pages” field is set,"pagesfield, set",org/jabref/logic/layout/format/LastPage.java:15,null-check,dual-value-comparison,VDS
jabref-5.0,JAB-16,en__collaborative-work__export__customexports.md,"t initial is shown.
* `MiddleInitial` : first name is shown, but all middle names are abbreviated.

`AuthorPunc = [ {FullPunc} | NoPunc | NoComma | NoPeriod ]` 
specifies the punctuation used in the author list when `AuthorAbbr` is used

* `FullPunc` : no chan",`AuthorPunc = [ {FullPunc} | NoPunc | NoComma | NoPeriod ]`,"Checks that AuthorPunc is one of {FullPunc, NoPunc, NoComma, NoPeriod} as opposed to any other value","AuthorPunc, FullPunc, NoPunc, NoComma, NoPeriod","org/jabref/logic/layout/format/Authors.java:145,148,151,154",if-chain,categorical-value,VDS
jabref-5.0,JAB-17,en__collaborative-work__export__customexports.md,"tring`.

`AuthorNumber = [ {inf} | <integer> ]` 
specifies the number of authors that are printed. If the number of authors exceeds the maximum specified, the authorlist is replaced by the first author \(or any number specified by `AuthorNumberEtAl`\), followed by `EtAlString`.

`AuthorNumberEtAl = [ {1} | <integer> ]` 
specifies the number of authors that are printed if the t","If the number of authors exceeds the maximum specified, the authorlist is replaced by the first author \(or any number specified by `AuthorNumberEtAl`\), followed by `EtAlString`.

`",Checks that the number of authors is greater than the value of “AuthorNumber”,"number of authors, AuthorNumber",org/jabref/logic/layout/format/Authors.java:235,binary-comparison,value-comparison,VDS
jabref-5.0,JAB-18,en__collaborative-work__sqldatabase__README.md,"ur shared database. Then, you have to fill out the remaining fields with the according information. If you like you can save your password by clicking the **Remember password?** checkbox.

### SSL configuration

Since version 5.0 JabRef supports secure SSL connection to the database. Fo",If you like you can save your password by clicking the **Remember password?** checkbox.,Checks that the “Remember password” option was selected,"Remember password?, click",org/jabref/gui/shared/SharedDatabaseLoginDialogViewModel.java:209,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-19,en__collaborative-work__sqldatabase__README.md,"ence connection issues, you can pull changes from your shared database via the icon in the icon bar. If a newer version is available, JabRef will try to automatically merge the new version and your local copy. If this fails, the **Update refused** dialog will show up. You will then have to manually merge usi","If a newer version is available, JabRef will try to automatically merge the new version and your local copy.",Checks that a new version of database is available,"newer database version, available",org/jabref/logic/shared/DBMSSynchronizer.java:188,binary-comparison,dual-value-comparison,VDS
jabref-5.0,JAB-2,en__advanced__commandline.md,"tput filename[,export format]`

Export or save a file imported or loaded by the same command line.

If a file is imported using the `-i` option, that file will be exported. If no `-i` option is used, the _last_ file specified \(and successfully loaded\) will be exported.","If a file is imported using the `-i` option, that file will be exported.",Checks that a file was imported using the -i option,"file imported with -i option, is",org/jabref/cli/ArgumentProcessor.java:219,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-20,en__collect__findunlinkedfiles.md,"](https://github.com/latextemplates/LNCS) formatted papers. Other formats are not \(yet\) supported. In case a DOI is found on the first page, the DOI is used to generate the BibTeX information.

The next development step is to extract the title of the PDF, use the ""Lookup DOI"" and then the [G","In case a DOI is found on the first page, the DOI is used to generate the BibTeX information.",Checks if DOI was found on first page,"DOI first page, found",org/jabref/logic/importer/fileformat/PdfContentImporter.java:212,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-21,en__faqgeneral.md,"s opens a new window. Can JabRef open the libraries in the same window just in a different tab?

A: In **Options → Preferences → Advanced → “Remote operation”** put a checkmark to “Listen for remote operation on port”. This option allows new instances of JabRef to detect the instance already running, and pass files t",In **Options → Preferences → Advanced → “Remote operation”** put a checkmark to “Listen for remote operation on port”.,Checks that the option “Listen for remote operation on port” is enabled,"Listen for remote operation on port, checkmark",org/jabref/JabRefMain.java:142,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-22,en__setup__bibtexkeypatterns.md,"h author's last name
* **\[`auth.auth.ea`\]**: The last name of the first two authors, and “.ea” if there are more than two.
* **\[`auth.etal`\]**: The last name of the first author, and the last name of the second author i",there are more than two.,Checks that entry has more than 2 authors,"auth.auth.ea, 2",org/jabref/logic/bibtexkeypattern/BracketedPattern.java:775,binary-comparison,value-comparison,VDS
jabref-5.0,JAB-23,en__setup__bibtexkeypatterns.md,"more than 2 authors “EtAl” instead of “.etal” is appended.
* **\[`authshort`\]**: The last name if one author is given; the first character of up to three authors' last names if more than one author is given. A plus ch",one author is given,Checks that authors == 1,"author, 1",org/jabref/logic/bibtexkeypattern/BracketedPattern.java:881,binary-comparison,value-comparison,VDS
jabref-5.0,JAB-3,en__advanced__commandline.md,"fter importing, JabRef will start normally.

### Reset preferences: `-d key`

\(or `--prdef key`\)

Reset preferences \(key1, key2,..., or `all`\).

### No files at startup: `-b`

\(or `--blank`\)

Do not open any files at startup

### Version: `-","Reset preferences \(key1, key2,..., or `all`\).",Checks that the value of the parameter -d (or -prdef) is ‘all’,"reset preferences, all",org/jabref/cli/ArgumentProcessor.java:473,binary-comparison,value-comparison,VDS
jabref-5.0,JAB-4,en__advanced__entryeditor__README.md,"ress Ctrl + S or close the entry editor, JabRef will try to parse the contents of the source panel. If there are problems, you will be notified, and given the option to edit your entry further, or to revert to the former contents. If **Show source by default** is checked in the **General options** tab of the **Preferences** dial","If there are problems, you will be notified, and given the option to edit your entry further, or to revert to the former contents.",Checks that a parsing error occurred,"problems, are",org/jabref/gui/entryeditor/SourceTab.java:270,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-5,en__advanced__remote.md,"the firewall to keep blocking - the firewall will not interfere with remote operation of JabRef._

If listening for remote operation is enabled, JabRef will at startup attempt to start listening to a specific port. This means that other applications can send information to JabRef through this port. JabRef will o","If listening for remote operation is enabled, JabRef will at startup attempt to start listening to a specific port.",Checks that “Listen for remote operation” is enabled,"listening for remote operation, enabled",org/jabref/JabRefMain.java:142,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-6,en__advanced__remote.md,"d-line option `--importToOpen`, the imported entries will be added to the currently shown database. If no database is open, a new one will be created.","If no database is open, a new one will be created.",Checks that no database is open,"no database open, is",org/jabref/gui/JabRefFrame.java:900,null-check,dual-value-comparison,VDS
jabref-5.0,JAB-7,en__advanced__saveactions.md,"to lower case.

## Upper case

Changes all letters to upper case.

## Minify list of person names

Shortens lists of persons if there are more than 2 persons to \""et al.\"".","Shortens lists of persons if there are more than 2 persons to \""et al.\"".",Checks that there are more than two persons in the author list,"persons, 2",org/jabref/logic/formatter/minifier/MinifyNameListFormatter.java:74,binary-comparison,value-comparison,VDS
jabref-5.0,JAB-8,en__cite__openofficeintegration.md,"lean | `false` | Determines the type of citations to use. If `true`, number citations will be used. If `false`, author-year citations will be used. |
| IsSortByPosition | boolean | `false` | Determines how the bibliography is sorted. If true, the","If `false`, author-year citations will be used.",Checks that “IsNumberEntries” is “false”,"IsNumberEntries, false",org/jabref/gui/openoffice/OOBibBase.java:358,boolean-property,dual-value-comparison,VDS
jabref-5.0,JAB-9,en__cite__openofficeintegration.md,"he order in which they are cited. If false, the entries will be sorted alphabetically by authors. |
| ReferenceParagraphFormat | string | `Default` | Gives the name of the paragraph format to be used for the reference list. This format must be defin",| ReferenceParagraphFormat | string | `Default` |,Sets default value of “ReferenceParagraphFormat” to “Default”,"ReferenceParagraphFormat, Default",org/jabref/logic/openoffice/OOBibStyle.java:158,constant-argument,concrete-value,VDS
jedit-5.6pre0,JED-1,jedit5.5.0manual-a4.txt,"If jEdit is started while another copy is already running, control is transferred to the running copy, and a second instance is not loaded. This saves time and memory if jEdit is started multiple times. Communication between instances of jEdit is implemented using TCP/IP sockets; the initial instance is known as the server, and subsequent invocations are clients.","another copy is already running,",has jEdit.alreadyRunning,"copy, running",org/gjt/sp/jedit/jEdit.java:304,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-10,jedit5.5.0manual-a4.txt,"File>New (shortcut: C+n) opens a new, empty, buffer. Another way to create a new file is to specify a non-existent file name when starting jEdit on the command line. A new file will be created on disk when the buffer is saved for the first time.",the buffer is saved for the first time.,has File.savedFirstTime,"buffer saved first time, is",org/gjt/sp/jedit/Buffer.java:1916,binary-flag-check,dual-value-comparison,CDS
jedit-5.6pre0,JED-11,jedit5.5.0manual-a4.txt,"Files that you do not have write access to are opened in read-only mode, where editing is not permitted.",Files that you do not have write access to,File.writeAccess,"Files write access, have",org/gjt/sp/jedit/Buffer.java:2086,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-12,jedit5.5.0manual-a4.txt,"File>Save As renames the buffer and saves it in a new location. Note that using this command to save over another open buffer will close the other buffer, to stop two buffers from being able to share the same path name.",the same path name.,Buffer.path == Buffer.path,"path name, path name","org/gjt/sp/jedit/Buffer.java:2238,2239",binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-13,jedit5.5.0manual-a4.txt,"File>Save a Copy As saves the buffer to a different location but does not rename the buffer, and does not clear the “modified” flag. Note that using this command to save over another open buffer will automatically reload the other buffer.",another open buffer,Buffer.path == Buffer.path,"buffer, another buffer","org/gjt/sp/jedit/Buffer.java:2264,2265",binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-14,jedit5.5.0manual-a4.txt,"The autosave feature protects your work from computer crashes and such. Every 30 seconds, all buffers with unsaved changes are written out, with their respective file names, enclosed in hash (“#”) characters. For example, /home/user/project/program.c will be autosaved to home/user/project/#program.c# under your backup/autosave directory, or next to the original file, if no backup/autosave directory is specified.",buffers with unsaved changes,has Buffer.unsavedChanges,"buffers unsaved changes, with","org/gjt/sp/jedit/Buffer.java:366,367,368",boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-15,jedit5.5.0manual-a4.txt,"If an autosave file is found while a buffer is being loaded, jEdit will offer to recover the autosaved data.",an autosave file is found,has Buffer.autosaveFile,"autosave file, found",org/gjt/sp/jedit/Buffer.java:208,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-16,jedit5.5.0manual-a4.txt,"If Autosave of Untitled Buffers is enabled, then jEdit will allow you to exit without asking you to save dirty untitled buffers, and will silently restore them for you on next jEdit startup.","Autosave of Untitled Buffers is enabled,",has jEdit.autosaveUntitledBuffers,"Autosave of Untitled Buffers, enabled",org/gjt/sp/jedit/Buffer.java:1788,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-17,jedit5.5.0manual-a4.txt,"The backup feature can be used to roll back to the previous version of a file after changes were made. When a buffer is saved for the first time after being opened, its original contents are “backed up” under a different file name.",a buffer is saved for the first time,has Buffer.savedFirstTime,"buffer saved first time, is",org/gjt/sp/jedit/bufferio/BufferSaveRequest.java:225-226,null-check,dual-value-comparison,CDS
jedit-5.6pre0,JED-18,jedit5.5.0manual-a4.txt,The Max number of backups setting determines the number of backups to save. Setting this to zero disables the backup feature. Settings this to more than one adds numbered suffixes to file names. By default only one backup is saved.,Setting this to zero,jEdit.numberOfBackups == 0,"The Max number of backups, 0",org/gjt/sp/jedit/bufferio/BufferSaveRequest.java:228,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-19,jedit5.5.0manual-a4.txt,The Max number of backups setting determines the number of backups to save. Setting this to zero disables the backup feature. Settings this to more than one adds numbered suffixes to file names. By default only one backup is saved.,Settings this to more than one,jEdit.numberOfBackups > 1,"The Max number of backups, 1",org/gjt/sp/jedit/MiscUtilities.java:875,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-2,jedit5.5.0manual-a4.txt,"Not only does the edit server pick a random TCP port number on startup, it also requires that clients provide an authorization key; a randomly-generated number only accessible to processes running on the local machine. So not only will “bad guys” have to guess a 64-bit integer, they will need to get it right on the first try; the edit server shuts itself off upon receiving an invalid packet.",invalid packet.,has Packet.valid,"packet, invalid",org/gjt/sp/jedit/EditServer.java:314,binary-comparison,dual-value-comparison,CDS
jedit-5.6pre0,JED-20,jedit5.5.0manual-a4.txt,"If the Backup, Autosave directory setting is non-empty, backups are saved in that location (with the full path to the original file under it). Otherwise, they are saved in the same directory as the original file.","the Backup directory setting is non-empty,",has jEdit.autosaveDirectory,"Backup directory setting non-empty, is",org/gjt/sp/jedit/MiscUtilities.java:732,null-zero-check,dual-value-comparison,CDS
jedit-5.6pre0,JED-21,jedit5.5.0manual-a4.txt,"Clicking the Favorites button displays a menu showing all files and directories in the favorites list. The Add to Favorites item adds the currently selected file to the favorites list. If nothing is selected, the current directory is added. To remove a file from the favorites, invoke Edit Favorites, which will show the favorites list in the file system view, then select Delete from the right-click menu of the entry you want to remove.","nothing is selected,",has Browser.selection,"nothing selected, is",org/gjt/sp/jedit/browser/VFSBrowser.java:1960,null-zero-check,dual-value-comparison,CDS
jedit-5.6pre0,JED-22,jedit5.5.0manual-a4.txt,"File>Close (shortcut: C+w) closes the current buffer. If it has unsaved changes, jEdit will ask if they should be saved first.","it has unsaved changes,",has Buffer.unsavedChanges,"buffer unsaved changes, has",org/gjt/sp/jedit/jEdit.java:2036,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-23,jedit5.5.0manual-a4.txt,"By default, the last 100 edits is retained; older edits cannot be undone. The maximum number of undos and whether undos are reset when a buffer is saved can be changed in the Editing pane of the Utilities> Options dialog box; see the section called “The Editing Pane”.",the last 100 edits is retained;,editsRetained = 100,"edits retained, 100",gjt/sp/jedit/Buffer.java:262,constant-argument,concrete-value,CDS
jedit-5.6pre0,JED-24,jedit5.5.0manual-a4.txt,"If there is only one completion, it will be inserted into the buffer immediately.","there is only one completion,",completionAmount == 1,"1, completion",org/gjt/sp/jedit/gui/CompleteWord.java:93,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-25,jedit5.5.0manual-a4.txt,"If multiple completions were found, the longest common prefix is inserted into the buffer","multiple completions were found,",completionAmount > 1,"completions, 1",org/gjt/sp/jedit/gui/CompleteWord.java:93,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-26,jedit5.5.0manual-a4.txt,"If the margin is set to 0, then the width of the text area window is used to determine where to wrap lines.","the margin is set to 0,",jEdit.margin == 0,"margin, 0",org/gjt/sp/jedit/textarea/TextArea.java:6000,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-27,jedit5.5.0manual-a4.txt,"If end of line markers are enabled in the Text Area pane of the Utilities>Options dialog box, a special character (“↩”) is painted at the end of wrapped lines. If you are using a font that can not display it, or wish to use a different character, you can jEdit.setProperty(""view.eolMarkerChar"", ""↩""); from the Console beanshell and you will see it after a restart of jEdit. To enable/disable or change its color, see the section called “The Text Area Pane”.",end of line markers are enabled,has jEdit.endOfLineMarkers,"end of line markers, enabled",org/gjt/sp/jedit/textarea/TextAreaPainter.java:1455,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-28,jedit5.5.0manual-a4.txt,"In hard wrap mode, inserting text at the end of a line will automatically break the line if it extends beyond the wrap margin. Inserting or removing text in the middle of a line has no effect, however text can be re-wrapped using the Edit>Text>Format Paragraph command. See the section called “Working With Paragraphs”.",it extends beyond the wrap margin.,Line extends beyond wrapMargin,"text beyond wrap margin, extends",org/gjt/sp/jedit/textarea/TextArea.java:5673,binary-comparison,dual-value-comparison,CDS
jedit-5.6pre0,JED-3,jedit5.5.0manual-a4.txt,-log=level | Set the minimum log level to an integer between 1 and 9. Default is 7,Default is 7.,default Log.level = 7,"log level, 7",org/gjt/sp/util/Log.java:97,assign-constant,concrete-value,CDS
jedit-5.6pre0,JED-4,jedit5.5.0manual-a4.txt,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.","buffers with unsaved changes,",has Buffer.unsavedChanges,"buffers unsaved changes, with",org/gjt/sp/jedit/Buffer.java:1043,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-5,jedit5.5.0manual-a4.txt,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.","read-only buffers,",has Buffer.readOnly,"buffers read-only, is",org/gjt/sp/jedit/Buffer.java:1045,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-6,jedit5.5.0manual-a4.txt,"The drop-down buffer switcher list at the top of each EditPane shows a BufferSet, or a set of open buffers (see the section called “Buffer Sets and closing buffers”). Selecting a buffer on this list will make it visible in the TextArea. Different emblems are displayed next to buffer names in the list, depending the buffer's state; a red disk is shown for buffers with unsaved changes, a lock is shown for read-only buffers, and a spark is shown for new buffers which don't yet exist on disk.",new buffers which don't yet exist on disk.,has Buffer.existsOnDisk,"new buffers, is",org/gjt/sp/jedit/Buffer.java:1916,binary-flag-check,dual-value-comparison,CDS
jedit-5.6pre0,JED-7,jedit5.5.0manual-a4.txt,"View>Close View closes the current View. If only one View is open, closing it will exit jEdit, unless background mode is on; see Chapter 2, Starting jEdit for information about starting jEdit in background mode.","only one View is open,",jEdit.openViews == 1,"View open, 1",org/gjt/sp/jedit/jEdit.java:4729,binary-comparison,value-comparison,CDS
jedit-5.6pre0,JED-8,jedit5.5.0manual-a4.txt,"View>Close View closes the current View. If only one View is open, closing it will exit jEdit, unless background mode is on; see Chapter 2, Starting jEdit for information about starting jEdit in background mode.",background mode is on;,has jEdit.background,"background mode, on",org/gjt/sp/jedit/jEdit.java:3089,boolean-property,dual-value-comparison,CDS
jedit-5.6pre0,JED-9,jedit5.5.0manual-a4.txt,"If you specify a repeat count greater than 20, a confirmation dialog box will be displayed, asking if you really want to perform the action. This prevents you from hanging jEdit by executing a command too many times.","a repeat count greater than 20,",repeatCount > 20,"repeat count, 20",org/gjt/sp/jedit/gui/InputHandler.java:347,binary-comparison,value-comparison,CDS
jpos-2.1.4,JPO-1,2.2.2. Packing and unpacking,"meric (ASCII)

IFE_NUMERIC

Fixed length numeric (EBCDIC)

IFB_NUMERIC

Fixed length numeric (BCD)

IFB_LLNUM

Variable length numeric (BCD, maxlength=99)

IFB_LLLNUM

Variable length numeric (BCD, maxlength=999)

IFB_LLLLNUM

Variable length numeric (B","IFB_LLNUM

Variable length numeric (BCD, maxlength=99)",Checks/Enforces the length of a field of IFB_LLNUM type to be <= 99,"length, 99",org/jpos/iso/ISOStringFieldPackager.java:240,binary-comparison,value-comparison,VDS
jpos-2.1.4,JPO-10,7.7. Dynamic classloading,"the deploy directory that Q2 monitors to see changes in the deployed services, it also monitors
the timestamp of the deploy/lib directory, and if changed, it scans all jars in there and add them to the URL
classloader of the MBeanServer, used by Q2 to i","timestamp of the deploy/lib directory, and if changed,",Checks that the deploy/lib directory has changed,"deploy/lib directory, changed",org/jpos/q2/QClassLoader.java:63,binary-comparison,dual-value-comparison,VDS
jpos-2.1.4,JPO-11,8.1.1. QBean descriptor,"ed.
⑦ The channel element can have multiple optional filter child elements (see Filtered Channels). The
direction attribute is optional, if not present (or if its value is both), the filter is configured to process
both incoming as well as outgoing messages.
⑧ Space queue use","The
direction attribute is optional, if not present (or if its value is both)",Checks that the value of the “direction” attribute in a channel element is ‘both’,"direction, both",org/jpos/q2/iso/ChannelAdaptor.java:237,binary-comparison,concrete-value,VDS
jpos-2.1.4,JPO-12,"8.1.3. Channel timeout, keep-alive, connection-timeout","sage, causing a
reconnection at that time, instead of ahead of time, while it was idle.
Setting the keep-alive (true/false) would set the low level SO_KEEPALIVE flag at the socket level for
situations where no network mana",keep-alive (true/false),Checks that “keep-alive” property of channel is one of true/false,"keep-alive, true, false",org/jpos/core/SimpleConfiguration.java:145,binary-comparison,categorical-value,VDS
jpos-2.1.4,JPO-13,8.4.1. QBean descriptor,">--> <!--default last connected -->
<send-request>RR</send-request> <!-- round-robin -->
</qserver>
QServer can accept multiple simultaneous sockets (default 100) that can be configured using the JMX

108

_x000c_attributes minSessions and maxSessions, i.e:

<attr na",QServer can accept multiple simultaneous sockets (default 100),Sets default value of maxSessions to 100,"maxSessions, 100",org/jpos/q2/iso/QServer.java:59,assign-constant,concrete-value,VDS
jpos-2.1.4,JPO-14,8.4.1. QBean descriptor,"ked, starting with the wildcard ""deny"" set, and following with the wildcard
""allow"" set.
• If only ""allow"" expressions are used, the default policy will be to deny unmatching IPs.
• If only ""deny"" expressions are used,","allow"" expressions",Checks that only “allow” expressions were used,"only allow expressions, used",org/jpos/iso/ISOServer.java:201,boolean-property,dual-value-comparison,VDS
jpos-2.1.4,JPO-15,9.1. TransactionConstants,"REPARED too.

RETRY

2

The transaction will be retried after a short period of time defined by
the retry-timeout TransactionManager property (which defaults to 5
seconds). This can be used in situations where a transient error has
been detected (such as a link down sit","retry-timeout TransactionManager property (which defaults to 5
seconds)",Sets the default value of retry-timeout to 5,"retry-timeout, 5 seconds",jpos/src/main/java/org/jpos/transaction/TransactionManager.java:96,assign-constant,concrete-value,VDS
jpos-2.1.4,JPO-16,9.1. TransactionConstants,"ents the Pausable interface)
b) A timeout specified by the Context’s Pausable interface occurs
c) A default timeout specified by the TransactionManager’s pausetimeout property (which defaults to five minutes)

NO_JOIN

0x40

This modifier is a hint to the TransactionManager to let it know that it
is not re",default timeout specified by the TransactionManager’s pausetimeout property (which defaults to five minutes),Sets default value of pause-timeout property to 5 minutes,"pause-timeout, 5 minutes",org/jpos/transaction/TransactionManager.java:97,assign-constant,concrete-value,VDS
jpos-2.1.4,JPO-17,9.1. TransactionConstants,"ant’s commit or abort methods once
the committing or aborting phase of the transaction is reached.

READONLY

0x80

This modifier is a hint to the TransactionManager to let it know that
this participant has not mod","READONLY

0x80",Checks that the transaction is marked with READONLY,"transaction READONLY, is",org/jpos/transaction/TransactionManager.java:668,binary-flag-check,dual-value-comparison,VDS
jpos-2.1.4,JPO-18,9.7.2. Configuration,": org.jpos.transaction.Debug [9.3/21.7]
end [22.8/22.8]
</profiler>
</debug>
• sessions
Defines the number of simultaneous sessions (Threads) used to process transactions. Defaults to one. It
is recommended to keep the sessions property within a reasonable value commensurate the number",number of simultaneous sessions (Threads) used to process transactions. Defaults to one.,Sets the default value of the sessions property to 1,"sessions, 1",org/jpos/transaction/TransactionManager.java:440,constant-argument,concrete-value,VDS
jpos-2.1.4,JPO-19,9.8. Transaction Participants,"element supports an optional enabled attribute that can be used
disable participants at runtime. The enabled value can either be 'yes/no/true/false` or a
list of environment names (i.e.: prod, staging).

9.8.1. Switch participant
The org.jpos.trans",enabled value can either be 'yes/no/true/false`,Checks value of “enabled” property of participant element is one of 'yes/no/true/false`,"enabled, yes, no, true, false","org/jpos/q2/QFactory.java:446,447",binary-comparison,categorical-value,VDS
jpos-2.1.4,JPO-2,2.2.5. Accepting connections with ISOServer,"}
}



The third argument of ISOServer’s constructor is an optional ThreadPool. Should you pass
a null parameter there, a new ThreadPool is created for you, which defaults to 100
threads. (new ThreadPool (1,100))",null parameter,Checks that the TreadPool parameter is null,"constructor parameter, null",org/jpos/iso/ISOServer.java:117,null-check,dual-value-comparison,VDS
jpos-2.1.4,JPO-20,2.3. IncomingListener,"cription

Default Value

queue

Transaction Manager’s queue

no default, this property is required

timeout

Source Based Timeout

15000ms, set to 0 to disable

source

Places ISOSource

SOURCE

request

Places ISOMsg

REQUEST

timestamp

Context creation tim","timeout

Source Based Timeout

15000ms, set to 0 to disable",Checks that timeout is 0,"timeout, 0",org/jpos/space/TSpace.java:70,binary-comparison,value-comparison,VDS
